PS	IAT	Count
0	0	1
10	13	9
10	14	5
10	15	7
10	16	7
10	17	7
10	18	7
10	19	7
10	20	7
10	21	7
10	22	7
11	13	8
11	14	6
11	15	7
11	16	7
11	17	7
11	18	7
11	19	7
11	20	8
11	21	6
11	22	7
12	13	8
12	14	6
12	20	1
12	21	6
12	22	7
13	13	8
13	14	6
13	20	2
13	21	5
13	22	7
14	13	7
14	14	7
14	20	1
14	21	6
14	22	7
15	13	7
15	14	7
15	15	7
15	20	9
15	21	5
15	22	7
16	14	7
16	15	7
16	16	7
16	17	9
16	18	5
16	19	7
16	20	7
16	21	7
17	15	7
17	16	7
17	17	7
17	18	7
17	19	7
17	20	7
18	16	8
18	17	8
18	18	5
18	19	7
21	13	8
21	14	6
21	15	7
21	16	7
21	17	10
21	18	4
21	19	7
21	20	8
21	21	6
21	22	7
22	13	8
22	14	6
22	15	7
22	16	7
22	17	7
22	18	7
22	19	7
22	20	7
22	21	7
22	22	7
23	13	7
23	14	7
23	17	7
23	18	7
23	21	7
23	22	7
24	13	8
24	14	6
24	17	8
24	18	6
24	21	7
24	22	7
25	13	7
25	14	7
25	16	7
25	17	8
25	18	6
25	20	2
25	21	5
25	22	7
26	13	7
26	14	7
26	15	7
26	16	8
26	17	8
26	18	5
26	19	7
26	20	7
26	21	7
26	22	7
27	14	7
27	15	7
27	16	7
27	17	3
27	18	4
27	19	8
27	20	6
27	21	7
28	20	7
31	13	7
31	14	7
31	15	7
31	16	7
31	17	8
31	18	6
31	19	7
31	20	8
31	21	6
31	22	7
32	13	7
32	14	7
32	15	7
32	16	8
32	17	7
32	18	6
32	19	7
32	20	8
32	21	6
32	22	7
33	17	8
33	18	6
34	17	7
34	18	7
35	17	8
35	18	6
36	16	1
36	17	8
36	18	5
37	13	8
37	14	6
37	15	7
37	16	7
37	17	9
37	18	5
37	19	7
37	20	7
37	21	7
37	22	7
38	13	7
38	14	7
38	15	7
38	16	7
38	17	9
38	18	5
38	19	7
38	20	8
38	21	6
38	22	7
42	18	7
42	19	7
